PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
2018851492,03/26/2018,2010,900 BARTON SPRINGS RD,3110900,10067827,DA,Council District 9,TRAVIS COUNTY,78704,13.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20183380603,12/04/2018,1032,W 14TH ST / LAVACA ST,3114407,10073883,BA,Council District 1,TRAVIS COUNTY,78701,7,,Moving Traffic Violation,M,BLACK,NO,,
2018220493,01/22/2018,930,BARWOOD PARK / N IH 35 SVRD SB,3128801,10100276,ED,Council District 4,TRAVIS COUNTY,78753,18.06,,Moving Traffic Violation,F,BLACK,NO,,
20183570460,12/23/2018,906,2400 BLOCK WICKERSHAM LN,3120814,10056202,HE,Council District 3,TRAVIS COUNTY,78741,23.14,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
201870517,01/07/2018,1017,6900 CARVER AVE,3126863,10092793,ID,Council District 4,TRAVIS COUNTY,78752,18.12,,Moving Traffic Violation,M,BLACK,NO,,
2018331919,02/02/2018,2359,2107 S CONGRESS AVE,3111599,10061552,HE,Council District 9,TRAVIS COUNTY,78704,14.01,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20183521336,12/18/2018,1841,E WILLIAM CANNON DR / S CONGRESS AVE,3103555,10043201,FR,Council District 2,TRAVIS COUNTY,78745,24.22,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
20183340180,11/30/2018,255,E 6TH ST / CONGRESS AVE,3114309,10070753,GE,Council District 9,TRAVIS COUNTY,78701,11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,OTHER
20183490064,12/15/2018,38,3900 TODD LN,3116752,10050802,FR,Council District 2,TRAVIS COUNTY,78744,24.11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,BLACK,YES,INCIDENTAL TO ARREST,CASH
2018621529,03/04/2018,207,6700 BLOCK N IH 35 SVRD SB,3125109,10092138,ID,Council District 4,TRAVIS COUNTY,78752,15.03,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
